subject,model,task,requested_seconds,effective_seconds,label,n,correct,recall
t12,shrinkage_lda,imagined_word,0.25,0.24,ban,4,2,0.5
t12,shrinkage_lda,imagined_word,0.25,0.24,choice,4,2,0.5
t12,shrinkage_lda,imagined_word,0.25,0.24,day,4,1,0.25
t12,shrinkage_lda,imagined_word,0.25,0.24,feel,4,0,0.0
t12,shrinkage_lda,imagined_word,0.25,0.24,kite,4,1,0.25
t12,shrinkage_lda,imagined_word,0.25,0.24,though,4,0,0.0
t12,shrinkage_lda,imagined_word,0.25,0.24,were,4,1,0.25
t12,shrinkage_lda,attempted_word,0.25,0.24,ban,4,3,0.75
t12,shrinkage_lda,attempted_word,0.25,0.24,choice,4,2,0.5
t12,shrinkage_lda,attempted_word,0.25,0.24,day,4,2,0.5
t12,shrinkage_lda,attempted_word,0.25,0.24,feel,4,2,0.5
t12,shrinkage_lda,attempted_word,0.25,0.24,kite,4,3,0.75
t12,shrinkage_lda,attempted_word,0.25,0.24,though,4,3,0.75
t12,shrinkage_lda,attempted_word,0.25,0.24,were,4,1,0.25
t12,shrinkage_lda,listening_word,0.25,0.24,ban,4,1,0.25
t12,shrinkage_lda,listening_word,0.25,0.24,choice,4,0,0.0
t12,shrinkage_lda,listening_word,0.25,0.24,day,4,0,0.0
t12,shrinkage_lda,listening_word,0.25,0.24,feel,4,1,0.25
t12,shrinkage_lda,listening_word,0.25,0.24,kite,4,0,0.0
t12,shrinkage_lda,listening_word,0.25,0.24,though,4,0,0.0
t12,shrinkage_lda,listening_word,0.25,0.24,were,4,1,0.25
t12,shrinkage_lda,behavior,0.25,0.24,attempted,28,25,0.8928571428571429
t12,shrinkage_lda,behavior,0.25,0.24,idle,4,0,0.0
t12,shrinkage_lda,behavior,0.25,0.24,imagined,28,26,0.9285714285714286
t12,shrinkage_lda,behavior,0.25,0.24,listening,28,14,0.5
t12,diagonal_lda,imagined_word,0.25,0.24,ban,4,2,0.5
t12,diagonal_lda,imagined_word,0.25,0.24,choice,4,2,0.5
t12,diagonal_lda,imagined_word,0.25,0.24,day,4,0,0.0
t12,diagonal_lda,imagined_word,0.25,0.24,feel,4,0,0.0
t12,diagonal_lda,imagined_word,0.25,0.24,kite,4,2,0.5
t12,diagonal_lda,imagined_word,0.25,0.24,though,4,0,0.0
t12,diagonal_lda,imagined_word,0.25,0.24,were,4,1,0.25
t12,diagonal_lda,attempted_word,0.25,0.24,ban,4,3,0.75
t12,diagonal_lda,attempted_word,0.25,0.24,choice,4,1,0.25
t12,diagonal_lda,attempted_word,0.25,0.24,day,4,2,0.5
t12,diagonal_lda,attempted_word,0.25,0.24,feel,4,1,0.25
t12,diagonal_lda,attempted_word,0.25,0.24,kite,4,3,0.75
t12,diagonal_lda,attempted_word,0.25,0.24,though,4,3,0.75
t12,diagonal_lda,attempted_word,0.25,0.24,were,4,1,0.25
