subject,model,threshold,trial,block,truth,prediction,outcome,go_relative_seconds,go_events
t12,shrinkage_lda,1.01,356,13,feel,,miss,,0
t12,shrinkage_lda,1.01,357,13,though,,miss,,0
t12,shrinkage_lda,1.01,359,13,day,,miss,,0
t12,shrinkage_lda,1.01,366,13,kite,,miss,,0
t12,shrinkage_lda,1.01,373,13,though,,miss,,0
t12,shrinkage_lda,1.01,374,13,kite,,miss,,0
t12,shrinkage_lda,1.01,377,13,choice,,miss,,0
t12,shrinkage_lda,1.01,378,13,feel,,miss,,0
t12,shrinkage_lda,1.01,382,13,day,,miss,,0
t12,shrinkage_lda,1.01,383,13,ban,,miss,,0
t12,shrinkage_lda,1.01,384,13,ban,,miss,,0
t12,shrinkage_lda,1.01,386,13,choice,,miss,,0
t12,shrinkage_lda,1.01,388,13,were,,miss,,0
t12,shrinkage_lda,1.01,393,13,were,,miss,,0
t12,shrinkage_lda,1.01,396,14,were,,miss,,0
t12,shrinkage_lda,1.01,399,14,kite,,miss,,0
t12,shrinkage_lda,1.01,400,14,day,,miss,,0
t12,shrinkage_lda,1.01,405,14,day,,miss,,0
t12,shrinkage_lda,1.01,409,14,ban,,miss,,0
t12,shrinkage_lda,1.01,410,14,ban,,miss,,0
t12,shrinkage_lda,1.01,411,14,kite,,miss,,0
t12,shrinkage_lda,1.01,420,14,though,,miss,,0
t12,shrinkage_lda,1.01,421,14,choice,,miss,,0
t12,shrinkage_lda,1.01,427,14,though,,miss,,0
t12,shrinkage_lda,1.01,428,14,were,,miss,,0
t12,shrinkage_lda,1.01,429,14,feel,,miss,,0
t12,shrinkage_lda,1.01,433,14,feel,,miss,,0
t12,shrinkage_lda,1.01,436,14,choice,,miss,,0
t12,diagonal_lda,1.01,356,13,feel,,miss,,0
t12,diagonal_lda,1.01,357,13,though,,miss,,0
t12,diagonal_lda,1.01,359,13,day,,miss,,0
t12,diagonal_lda,1.01,366,13,kite,,miss,,0
t12,diagonal_lda,1.01,373,13,though,,miss,,0
t12,diagonal_lda,1.01,374,13,kite,,miss,,0
t12,diagonal_lda,1.01,377,13,choice,,miss,,0
t12,diagonal_lda,1.01,378,13,feel,,miss,,0
t12,diagonal_lda,1.01,382,13,day,,miss,,0
t12,diagonal_lda,1.01,383,13,ban,,miss,,0
t12,diagonal_lda,1.01,384,13,ban,,miss,,0
t12,diagonal_lda,1.01,386,13,choice,,miss,,0
t12,diagonal_lda,1.01,388,13,were,,miss,,0
t12,diagonal_lda,1.01,393,13,were,,miss,,0
t12,diagonal_lda,1.01,396,14,were,,miss,,0
t12,diagonal_lda,1.01,399,14,kite,,miss,,0
t12,diagonal_lda,1.01,400,14,day,,miss,,0
t12,diagonal_lda,1.01,405,14,day,,miss,,0
t12,diagonal_lda,1.01,409,14,ban,,miss,,0
t12,diagonal_lda,1.01,410,14,ban,,miss,,0
t12,diagonal_lda,1.01,411,14,kite,,miss,,0
t12,diagonal_lda,1.01,420,14,though,,miss,,0
t12,diagonal_lda,1.01,421,14,choice,,miss,,0
t12,diagonal_lda,1.01,427,14,though,,miss,,0
t12,diagonal_lda,1.01,428,14,were,,miss,,0
t12,diagonal_lda,1.01,429,14,feel,,miss,,0
t12,diagonal_lda,1.01,433,14,feel,,miss,,0
t12,diagonal_lda,1.01,436,14,choice,,miss,,0
t15,shrinkage_lda,1.01,493,8,though,,miss,,0
t15,shrinkage_lda,1.01,495,8,day,,miss,,0
t15,shrinkage_lda,1.01,497,8,kite,,miss,,0
t15,shrinkage_lda,1.01,498,8,were,,miss,,0
t15,shrinkage_lda,1.01,499,8,feel,,miss,,0
t15,shrinkage_lda,1.01,500,8,choice,,miss,,0
t15,shrinkage_lda,1.01,501,8,though,,miss,,0
t15,shrinkage_lda,1.01,504,8,day,,miss,,0
t15,shrinkage_lda,1.01,505,8,ban,,miss,,0
t15,shrinkage_lda,1.01,508,8,though,,miss,,0
t15,shrinkage_lda,1.01,510,8,kite,,miss,,0
t15,shrinkage_lda,1.01,511,8,were,,miss,,0
t15,shrinkage_lda,1.01,513,8,feel,,miss,,0
t15,shrinkage_lda,1.01,514,8,day,,miss,,0
t15,shrinkage_lda,1.01,515,8,choice,,miss,,0
t15,shrinkage_lda,1.01,516,8,kite,,miss,,0
t15,shrinkage_lda,1.01,519,8,ban,,miss,,0
t15,shrinkage_lda,1.01,520,8,kite,,miss,,0
t15,shrinkage_lda,1.01,526,8,feel,,miss,,0
t15,shrinkage_lda,1.01,527,8,feel,,miss,,0
t15,shrinkage_lda,1.01,528,8,feel,,miss,,0
t15,shrinkage_lda,1.01,529,8,choice,,miss,,0
t15,shrinkage_lda,1.01,536,8,ban,,miss,,0
t15,shrinkage_lda,1.01,540,8,feel,,miss,,0
t15,shrinkage_lda,1.01,544,8,feel,,miss,,0
t15,shrinkage_lda,1.01,546,8,day,,miss,,0
t15,shrinkage_lda,1.01,548,8,choice,,miss,,0
t15,shrinkage_lda,1.01,549,8,though,,miss,,0
t15,shrinkage_lda,1.01,550,8,kite,,miss,,0
t15,shrinkage_lda,1.01,551,8,were,,miss,,0
t15,shrinkage_lda,1.01,552,8,choice,,miss,,0
t15,shrinkage_lda,1.01,553,8,ban,,miss,,0
t15,shrinkage_lda,1.01,554,8,day,,miss,,0
t15,shrinkage_lda,1.01,556,8,were,,miss,,0
