condition,method,episodes,independent_topic_clusters,success_rate,mean_inputs
primary,user_only,600,6,0.9383333333333334,9.026666666666667
primary,local_embedding,600,6,0.96,8.043333333333333
primary,jev_atomic,600,6,0.9416666666666667,6.506666666666667
primary,jev_choice,600,6,0.9383333333333334,5.946666666666666
low_channel_accuracy,user_only,600,6,0.9266666666666666,15.89
low_channel_accuracy,local_embedding,600,6,0.9416666666666667,10.85
low_channel_accuracy,jev_atomic,600,6,0.9283333333333333,8.198333333333334
low_channel_accuracy,jev_choice,600,6,0.93,6.941666666666666
high_channel_accuracy,user_only,600,6,0.9816666666666667,7.453333333333333
high_channel_accuracy,local_embedding,600,6,0.98,6.781666666666666
high_channel_accuracy,jev_atomic,600,6,0.945,5.796666666666667
high_channel_accuracy,jev_choice,600,6,0.94,5.3933333333333335
uninformative_context,user_only,600,6,0.9383333333333334,9.026666666666667
uninformative_context,local_embedding,600,6,0.9183333333333333,10.105
uninformative_context,jev_atomic,600,6,0.8733333333333333,9.656666666666666
uninformative_context,jev_choice,600,6,0.8516666666666667,9.433333333333334
counter_suggestion,user_only,600,6,0.9383333333333334,9.026666666666667
counter_suggestion,local_embedding,600,6,0.9016666666666666,11.18
counter_suggestion,jev_atomic,600,6,0.8366666666666667,11.51
counter_suggestion,jev_choice,600,6,0.81,11.335
primary,fast_llm_atomic,600,6,0.9416666666666667,6.128333333333333
low_channel_accuracy,fast_llm_atomic,600,6,0.93,7.355
high_channel_accuracy,fast_llm_atomic,600,6,0.9416666666666667,5.4783333333333335
uninformative_context,fast_llm_atomic,600,6,0.86,9.498333333333333
counter_suggestion,fast_llm_atomic,600,6,0.8233333333333334,11.465
primary,fast_llm_choice,600,6,0.98,10.138333333333334
low_channel_accuracy,fast_llm_choice,600,6,0.935,16.158333333333335
high_channel_accuracy,fast_llm_choice,600,6,0.985,7.7316666666666665
uninformative_context,fast_llm_choice,600,6,0.9666666666666667,12.058333333333334
counter_suggestion,fast_llm_choice,600,6,0.9583333333333334,13.285
