subject,model,task,requested_seconds,effective_seconds,train_n,test_n,accuracy,balanced_accuracy,chance,null_balanced_mean,classes,confusion
t12,shrinkage_lda,imagined_word,0.25,0.24,98,28,0.25,0.25,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 1, 0, 1, 0, 0, 0], [1, 2, 0, 1, 0, 0, 0], [0, 3, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 2, 1, 0, 0], [0, 2, 0, 0, 1, 0, 1], [0, 1, 0, 1, 1, 0, 1]]"
t12,shrinkage_lda,attempted_word,0.25,0.24,98,28,0.5714285714285714,0.5714285714285714,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 1, 0, 0, 0, 0, 0], [0, 2, 1, 0, 1, 0, 0], [0, 1, 2, 0, 0, 1, 0], [0, 0, 1, 2, 1, 0, 0], [1, 0, 0, 0, 3, 0, 0], [0, 0, 1, 0, 0, 3, 0], [0, 1, 0, 2, 0, 0, 1]]"
t12,shrinkage_lda,listening_word,0.25,0.24,98,28,0.10714285714285714,0.10714285714285714,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[1, 0, 1, 0, 2, 0, 0], [0, 0, 2, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0, 1], [0, 2, 1, 1, 0, 0, 0], [0, 1, 2, 0, 0, 0, 1], [0, 1, 2, 0, 1, 0, 0], [0, 0, 1, 0, 2, 0, 1]]"
t12,shrinkage_lda,behavior,0.25,0.24,308,88,0.7386363636363636,0.5803571428571429,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[25, 0, 3, 0], [0, 0, 0, 4], [1, 0, 26, 1], [1, 5, 8, 14]]"
t12,diagonal_lda,imagined_word,0.25,0.24,98,28,0.25,0.25,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 1, 0, 1, 0, 0, 0], [1, 2, 0, 1, 0, 0, 0], [0, 3, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 1, 2, 0, 0], [0, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 0, 1]]"
t12,diagonal_lda,attempted_word,0.25,0.24,98,28,0.5,0.5,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0], [0, 1, 2, 0, 0, 1, 0], [1, 0, 1, 1, 1, 0, 0], [1, 0, 0, 0, 3, 0, 0], [0, 0, 1, 0, 0, 3, 0], [0, 1, 0, 2, 0, 0, 1]]"
t12,diagonal_lda,listening_word,0.25,0.24,98,28,0.14285714285714285,0.14285714285714285,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[1, 1, 0, 0, 2, 0, 0], [0, 0, 2, 0, 1, 0, 1], [1, 0, 0, 0, 1, 0, 2], [0, 2, 1, 1, 0, 0, 0], [0, 1, 2, 0, 0, 0, 1], [0, 1, 2, 0, 0, 1, 0], [0, 0, 1, 0, 2, 0, 1]]"
t12,diagonal_lda,behavior,0.25,0.24,308,88,0.7272727272727273,0.5714285714285714,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[24, 0, 4, 0], [0, 0, 0, 4], [1, 0, 26, 1], [1, 6, 7, 14]]"
t12,shrinkage_lda,imagined_word,0.5,0.5,98,28,0.32142857142857145,0.32142857142857145,0.14285714285714285,0.12682215743440234,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[4, 0, 0, 0, 0, 0, 0], [0, 2, 1, 0, 0, 1, 0], [0, 4, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 0], [1, 0, 0, 1, 1, 1, 0], [0, 2, 1, 0, 0, 1, 0], [0, 1, 1, 0, 1, 0, 1]]"
t12,shrinkage_lda,attempted_word,0.5,0.5,98,28,0.8214285714285714,0.8214285714285714,0.14285714285714285,0.14723032069970843,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 1, 0, 0, 0, 0, 0], [0, 3, 0, 0, 1, 0, 0], [0, 0, 3, 0, 0, 1, 0], [0, 0, 0, 3, 1, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 1, 0, 0, 3]]"
t12,shrinkage_lda,listening_word,0.5,0.5,98,28,0.17857142857142858,0.17857142857142858,0.14285714285714285,0.14212827988338192,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 2, 0, 0, 2, 0, 0], [1, 0, 1, 0, 2, 0, 0], [0, 0, 1, 0, 1, 0, 2], [0, 1, 0, 2, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1], [3, 0, 0, 0, 0, 0, 1], [0, 0, 2, 0, 0, 0, 2]]"
t12,shrinkage_lda,behavior,0.5,0.5,308,88,0.875,0.7410714285714286,0.25,0.2545553935860058,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[25, 0, 3, 0], [0, 1, 0, 3], [0, 0, 28, 0], [0, 2, 3, 23]]"
t12,diagonal_lda,imagined_word,0.5,0.5,98,28,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14067055393586006,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 0, 0, 1, 0, 0, 0], [0, 3, 1, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 0], [1, 0, 0, 1, 1, 1, 0], [0, 1, 1, 0, 0, 2, 0], [1, 1, 1, 0, 0, 0, 1]]"
t12,diagonal_lda,attempted_word,0.5,0.5,98,28,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.15670553935860057,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0, 0], [0, 0, 3, 0, 0, 1, 0], [0, 0, 0, 3, 1, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 1, 0, 0, 3]]"
t12,diagonal_lda,listening_word,0.5,0.5,98,28,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.141399416909621,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 2, 0, 0, 2, 0, 0], [0, 0, 1, 0, 2, 0, 1], [0, 0, 1, 0, 0, 1, 2], [0, 1, 0, 2, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 0, 1], [0, 0, 2, 0, 0, 0, 2]]"
t12,diagonal_lda,behavior,0.5,0.5,308,88,0.875,0.7410714285714286,0.25,0.2676749271137026,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[25, 0, 3, 0], [0, 1, 0, 3], [0, 0, 28, 0], [0, 2, 3, 23]]"
t12,shrinkage_lda,imagined_word,1.0,1.0,98,28,0.6428571428571429,0.6428571428571429,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[4, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [1, 2, 0, 0, 1, 0, 0], [0, 0, 0, 0, 3, 1, 0], [0, 0, 0, 0, 0, 4, 0], [0, 1, 0, 0, 0, 0, 3]]"
t12,shrinkage_lda,attempted_word,1.0,1.0,98,28,0.8928571428571429,0.8928571428571429,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 1, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 1, 0], [0, 0, 0, 3, 0, 0, 1], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 4]]"
t12,shrinkage_lda,listening_word,1.0,1.0,98,28,0.32142857142857145,0.32142857142857145,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 0, 0, 2, 0, 0], [0, 1, 1, 0, 1, 0, 1], [1, 2, 0, 0, 0, 0, 1], [0, 0, 0, 2, 0, 1, 1], [0, 0, 1, 0, 1, 0, 2], [2, 0, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 2]]"
