subject,model,task,requested_seconds,effective_seconds,block,n,correct,accuracy,balanced_accuracy
t12,shrinkage_lda,imagined_word,0.25,0.24,13,14,4,0.2857142857142857,0.2857142857142857
t12,shrinkage_lda,imagined_word,0.25,0.24,14,14,3,0.21428571428571427,0.21428571428571427
t12,shrinkage_lda,attempted_word,0.25,0.24,13,14,9,0.6428571428571429,0.6428571428571429
t12,shrinkage_lda,attempted_word,0.25,0.24,14,14,7,0.5,0.5
t12,shrinkage_lda,listening_word,0.25,0.24,13,14,2,0.14285714285714285,0.14285714285714285
t12,shrinkage_lda,listening_word,0.25,0.24,14,14,1,0.07142857142857142,0.07142857142857142
t12,shrinkage_lda,behavior,0.25,0.24,13,44,31,0.7045454545454546,0.5535714285714285
t12,shrinkage_lda,behavior,0.25,0.24,14,44,34,0.7727272727272727,0.6071428571428572
t12,diagonal_lda,imagined_word,0.25,0.24,13,14,4,0.2857142857142857,0.2857142857142857
t12,diagonal_lda,imagined_word,0.25,0.24,14,14,3,0.21428571428571427,0.21428571428571427
t12,diagonal_lda,attempted_word,0.25,0.24,13,14,9,0.6428571428571429,0.6428571428571429
t12,diagonal_lda,attempted_word,0.25,0.24,14,14,5,0.35714285714285715,0.35714285714285715
t12,diagonal_lda,listening_word,0.25,0.24,13,14,2,0.14285714285714285,0.14285714285714285
t12,diagonal_lda,listening_word,0.25,0.24,14,14,2,0.14285714285714285,0.14285714285714285
t12,diagonal_lda,behavior,0.25,0.24,13,44,30,0.6818181818181818,0.5357142857142857
t12,diagonal_lda,behavior,0.25,0.24,14,44,34,0.7727272727272727,0.6071428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,13,14,6,0.42857142857142855,0.42857142857142855
t12,shrinkage_lda,imagined_word,0.5,0.5,14,14,3,0.21428571428571427,0.21428571428571427
t12,shrinkage_lda,attempted_word,0.5,0.5,13,14,13,0.9285714285714286,0.9285714285714286
t12,shrinkage_lda,attempted_word,0.5,0.5,14,14,10,0.7142857142857143,0.7142857142857143
t12,shrinkage_lda,listening_word,0.5,0.5,13,14,2,0.14285714285714285,0.14285714285714285
t12,shrinkage_lda,listening_word,0.5,0.5,14,14,3,0.21428571428571427,0.21428571428571427
t12,shrinkage_lda,behavior,0.5,0.5,13,44,39,0.8863636363636364,0.6964285714285714
t12,shrinkage_lda,behavior,0.5,0.5,14,44,38,0.8636363636363636,0.7857142857142857
t12,diagonal_lda,imagined_word,0.5,0.5,13,14,5,0.35714285714285715,0.35714285714285715
t12,diagonal_lda,imagined_word,0.5,0.5,14,14,5,0.35714285714285715,0.35714285714285715
t12,diagonal_lda,attempted_word,0.5,0.5,13,14,13,0.9285714285714286,0.9285714285714286
t12,diagonal_lda,attempted_word,0.5,0.5,14,14,9,0.6428571428571429,0.6428571428571429
t12,diagonal_lda,listening_word,0.5,0.5,13,14,3,0.21428571428571427,0.21428571428571427
t12,diagonal_lda,listening_word,0.5,0.5,14,14,3,0.21428571428571427,0.21428571428571427
t12,diagonal_lda,behavior,0.5,0.5,13,44,39,0.8863636363636364,0.6964285714285714
t12,diagonal_lda,behavior,0.5,0.5,14,44,38,0.8636363636363636,0.7857142857142857
t12,shrinkage_lda,imagined_word,1.0,1.0,13,14,9,0.6428571428571429,0.6428571428571429
t12,shrinkage_lda,imagined_word,1.0,1.0,14,14,9,0.6428571428571429,0.6428571428571429
t12,shrinkage_lda,attempted_word,1.0,1.0,13,14,13,0.9285714285714286,0.9285714285714286
t12,shrinkage_lda,attempted_word,1.0,1.0,14,14,12,0.8571428571428571,0.8571428571428571
t12,shrinkage_lda,listening_word,1.0,1.0,13,14,4,0.2857142857142857,0.2857142857142857
t12,shrinkage_lda,listening_word,1.0,1.0,14,14,5,0.35714285714285715,0.35714285714285715
t12,shrinkage_lda,behavior,1.0,1.0,13,44,41,0.9318181818181818,0.7321428571428572
t12,shrinkage_lda,behavior,1.0,1.0,14,44,39,0.8863636363636364,0.9107142857142857
t12,diagonal_lda,imagined_word,1.0,1.0,13,14,8,0.5714285714285714,0.5714285714285714
t12,diagonal_lda,imagined_word,1.0,1.0,14,14,10,0.7142857142857143,0.7142857142857143
t12,diagonal_lda,attempted_word,1.0,1.0,13,14,14,1.0,1.0
t12,diagonal_lda,attempted_word,1.0,1.0,14,14,13,0.9285714285714286,0.9285714285714286
t12,diagonal_lda,listening_word,1.0,1.0,13,14,4,0.2857142857142857,0.2857142857142857
t12,diagonal_lda,listening_word,1.0,1.0,14,14,5,0.35714285714285715,0.35714285714285715
t12,diagonal_lda,behavior,1.0,1.0,13,44,40,0.9090909090909091,0.7142857142857143
t12,diagonal_lda,behavior,1.0,1.0,14,44,39,0.8863636363636364,0.9107142857142857
t15,shrinkage_lda,imagined_word,0.25,0.25,8,70,16,0.22857142857142856,0.2285714285714286
t15,shrinkage_lda,attempted_word,0.25,0.25,8,35,16,0.45714285714285713,0.4571428571428572
t15,shrinkage_lda,listening_word,0.25,0.25,8,35,5,0.14285714285714285,0.14285714285714285
t15,shrinkage_lda,behavior,0.25,0.25,8,145,110,0.7586206896551724,0.6678571428571428
t15,diagonal_lda,imagined_word,0.25,0.25,8,70,12,0.17142857142857143,0.17142857142857146
t15,diagonal_lda,attempted_word,0.25,0.25,8,35,16,0.45714285714285713,0.4571428571428572
t15,diagonal_lda,listening_word,0.25,0.25,8,35,8,0.22857142857142856,0.2285714285714286
t15,diagonal_lda,behavior,0.25,0.25,8,145,67,0.46206896551724136,0.5714285714285714
t15,shrinkage_lda,imagined_word,0.5,0.5,8,70,21,0.3,0.3
t15,shrinkage_lda,attempted_word,0.5,0.5,8,35,23,0.6571428571428571,0.6571428571428573
t15,shrinkage_lda,listening_word,0.5,0.5,8,35,16,0.45714285714285713,0.4571428571428572
t15,shrinkage_lda,behavior,0.5,0.5,8,145,123,0.8482758620689655,0.7928571428571429
t15,diagonal_lda,imagined_word,0.5,0.5,8,70,21,0.3,0.3
t15,diagonal_lda,attempted_word,0.5,0.5,8,35,21,0.6,0.6
t15,diagonal_lda,listening_word,0.5,0.5,8,35,13,0.37142857142857144,0.37142857142857144
t15,diagonal_lda,behavior,0.5,0.5,8,145,80,0.5517241379310345,0.6857142857142857
t15,shrinkage_lda,imagined_word,1.0,1.0,8,70,21,0.3,0.29999999999999993
t15,shrinkage_lda,attempted_word,1.0,1.0,8,35,28,0.8,0.7999999999999999
t15,shrinkage_lda,listening_word,1.0,1.0,8,35,23,0.6571428571428571,0.6571428571428571
t15,shrinkage_lda,behavior,1.0,1.0,8,145,112,0.7724137931034483,0.8071428571428572
t15,diagonal_lda,imagined_word,1.0,1.0,8,70,18,0.2571428571428571,0.2571428571428572
t15,diagonal_lda,attempted_word,1.0,1.0,8,35,27,0.7714285714285715,0.7714285714285714
t15,diagonal_lda,listening_word,1.0,1.0,8,35,17,0.4857142857142857,0.48571428571428577
t15,diagonal_lda,behavior,1.0,1.0,8,145,68,0.4689655172413793,0.5964285714285714
t16,shrinkage_lda,imagined_word,0.25,0.24,13,14,7,0.5,0.5
t16,shrinkage_lda,imagined_word,0.25,0.24,14,14,6,0.42857142857142855,0.42857142857142855
t16,shrinkage_lda,attempted_word,0.25,0.24,13,14,6,0.42857142857142855,0.42857142857142855
t16,shrinkage_lda,attempted_word,0.25,0.24,14,14,9,0.6428571428571429,0.6428571428571429
t16,shrinkage_lda,listening_word,0.25,0.24,13,14,2,0.14285714285714285,0.14285714285714285
t16,shrinkage_lda,listening_word,0.25,0.24,14,14,2,0.14285714285714285,0.14285714285714285
t16,shrinkage_lda,behavior,0.25,0.24,13,44,33,0.75,0.6964285714285714
t16,shrinkage_lda,behavior,0.25,0.24,14,44,28,0.6363636363636364,0.6071428571428571
t16,diagonal_lda,imagined_word,0.25,0.24,13,14,9,0.6428571428571429,0.6428571428571429
t16,diagonal_lda,imagined_word,0.25,0.24,14,14,5,0.35714285714285715,0.35714285714285715
t16,diagonal_lda,attempted_word,0.25,0.24,13,14,6,0.42857142857142855,0.42857142857142855
t16,diagonal_lda,attempted_word,0.25,0.24,14,14,8,0.5714285714285714,0.5714285714285714
t16,diagonal_lda,listening_word,0.25,0.24,13,14,3,0.21428571428571427,0.21428571428571427
t16,diagonal_lda,listening_word,0.25,0.24,14,14,2,0.14285714285714285,0.14285714285714285
t16,diagonal_lda,behavior,0.25,0.24,13,44,35,0.7954545454545454,0.7321428571428572
t16,diagonal_lda,behavior,0.25,0.24,14,44,29,0.6590909090909091,0.625
